date,MSCI_World,Global_Bonds,Gold,Bitcoin,Ethereum,XRP,BNB,Solana
2019-05-28,69.25237053913831,39.82323943046997,107.94347809140262,7789.977684056904,242.78456554794442,0.3989245327345156,29.803000577845207,
2019-05-29,68.87535424429377,39.969579918238345,108.20283071017897,7751.973339741994,241.21674180195785,0.3972119015837959,30.20794710976355,
2019-05-30,69.3030008617439,40.103474344575325,109.26301663023352,7469.8879197763645,229.73062620234467,0.37926000486155853,28.993500903327234,
2019-05-31,68.65317002451303,40.21125436051664,110.79720734163585,7703.161085273194,240.86785700172092,0.3940060988598319,29.42029666881321,
2019-06-01,,,,7693.741255111254,238.42220606987985,0.38682715674020507,29.658802056185806,
2019-06-02,,,,7854.498636088548,242.765207711757,0.3995859483760238,29.802902559501312,
2019-06-03,68.21609607276018,40.088072315519135,111.96469869938366,7346.476384275252,226.06642250972132,0.38102899147691055,28.093604946466513,
2019-06-04,69.13273664646547,39.87282043193549,111.28088229775959,6853.59605702466,214.5936336864992,0.3562651061140582,26.124664859179905,
2019-06-05,69.43750838799899,39.908901273026814,111.48887667917545,6952.377191591483,219.52211153329603,0.3578555788627616,27.551235195413497,
2019-06-06,69.89030701047106,40.04024552684456,112.10243343095621,6965.903088895356,222.16937250181297,0.3736213426053664,28.034607484133318,
2019-06-07,70.47083466269686,39.97716729598683,112.26000426664908,7133.375614176523,222.52503336887466,0.3752316739705018,28.01177831946038,
2019-06-08,,,,7053.720366187588,217.92053672669365,0.36572606400354185,28.43641350299289,
2019-06-09,,,,6817.786542802757,206.70127769014022,0.34431427253316116,27.099087533329232,
2019-06-10,70.55697598450554,39.74590155302697,110.71401329986533,7067.330915763167,218.65432186651356,0.3537292034276197,28.325338277993048,
2019-06-11,70.46858436142215,39.76710950004192,110.60153801495548,7004.452776166288,217.15807900221563,0.348345367902227,28.50534825257554,
2019-06-12,70.24989791021339,39.75506363763297,111.06385606986782,7189.941374104853,230.28629900875316,0.35461349033011647,30.615940064114806,
2019-06-13,70.57777258071683,39.92359447966591,112.07897975408216,7286.836936877134,226.78623443489332,0.3549052756489117,31.112224539206142,
2019-06-14,70.46962089766559,40.03353115520037,112.19416654108618,7706.995631912256,234.11088352801656,0.3598448998078988,29.32188011018394,
2019-06-15,,,,7835.130656062812,238.48292277845636,0.36383230956166734,29.099797711483017,
2019-06-16,,,,7973.523511733727,238.6636673887281,0.37898865146836186,28.724690422058263,
2019-06-17,70.83923131662915,40.24563655794585,112.75691659447047,8309.093817086141,244.58399599385476,0.39946330024069177,30.237785805560822,
2019-06-18,71.60288363912879,40.39525737371334,113.25121730523328,8090.942875227806,236.13470689940823,0.3819832028445562,30.593069580326002,
2019-06-19,72.09057097398288,40.52590097786419,114.20576899206684,8281.25465198199,240.60259036392117,0.3900775708243087,31.51146689422251,
2019-06-20,72.50750393449137,40.41597276739028,116.66167595914132,8477.266919267537,241.75421216245502,0.38245650685901417,32.67884993308421,
2019-06-21,71.9273971522803,40.16240974958316,116.84189136948876,8980.976082485236,261.08407197089826,0.3923543505785113,34.363732516512954,
2019-06-22,,,,9474.207495355626,273.8943911950906,0.4203085640024565,33.46412351678407,
2019-06-23,,,,9610.260124040664,272.5199445598363,0.4145780391646151,32.875374560403046,
2019-06-24,71.38789212664574,39.889825960694644,117.64887579829488,9671.82179638351,272.6677188611462,0.41291118645799946,32.880584792002765,
2019-06-25,70.70299750200324,39.877093832931294,117.71621966268208,10342.639390760245,279.0508770908005,0.4107164573430638,31.58539339553874,
2019-06-26,70.89160416111858,39.92067956828709,116.94844482282114,11447.905625394482,296.1777815056271,0.4111278310976722,31.39702112222709,
2019-06-27,71.05801756769192,39.93178166796865,116.78495517737994,9831.252697123005,258.7024540565262,0.3593519862114558,29.735670522040103,
2019-06-28,71.45398280874373,39.973013050407666,117.12009089846615,10909.518683188133,273.6548837223928,0.3757295225576933,30.378894617211277,
2019-06-29,,,,10515.635598195657,281.42138283693987,0.3775434825789295,31.091434611959876,
2019-06-30,,,,9511.308092447682,255.60315943446312,0.34855625836253834,28.52602497925907,
2019-07-01,71.99930099806022,40.039623256415496,114.93252711753061,9312.099746653754,258.3748007702867,0.35799784509365984,28.968328729787395,
2019-07-02,72.72291858264943,40.391887456176185,118.19325948641172,9569.638440165785,258.3369479487772,0.35455673681715855,28.358262196422785,
